PycityLayers Index,Street_no,Postal_Code,Error_Code,Price,Consumption,City ID,Address
181,1656,H2J 1M9,0,380,2590,501711119,7-1656 boul Saint-Joseph E Montréal QC H2J 1M9
181,1656,H2J 1M9,0,"2,520",25180,501711125,1656 boul Saint-Joseph E Montréal QC H2J 1M9
22401,4581,H2H 1Y2,0,800,8160,501587142,4581 rue Chabot Montréal QC H2H 1Y2
20985,4589,H2J 3S6,0,"2,150",21370,501222456,4589 rue Garnier Montréal QC H2J 3S6
21790,4528,H2J 3G6,0,"3,200",30200,500709896,4528 av Christophe-Colomb Montréal QC H2J 3G6
17923,4435,H2J 3K8,0,"1,780",17650,502854207,4435 rue de Brébeuf Montréal QC H2J 3K8
231540,4287,H2J 2M7,0,"1,250",13120,503071385,4287 rue Rivard Montréal QC H2J 2M7
222117,4689,H2J 2Z9,0,"1,680",16250,501780066,4689 rue Saint-André Montréal QC H2J 2Z9
354,1906,H2H 1G7,0,"2,750",26540,501442185,1906 rue Gilford Montréal QC H2H 1G7
259683,4556,H2J 2X3,0,"1,140",11140,503475007,4556 rue Saint-Hubert Montréal QC H2J 2X3
16675,4668,H2J 3G6,0,820,8460,502110617,4668 av Christophe-Colomb Montréal QC H2J 3G6
20274,4624,H2H 1X1,0,870,8800,500085792,4624 rue Cartier Montréal QC H2H 1X1
20263,4700,H2J 2R5,0,840,8460,503402497,4700 rue Berri Montréal QC H2J 2R5
20812,1025,H2J 1X7,0,"1,880",18770,500709750,1025 av du Mont-Royal E Montréal QC H2J 1X7
150559,4723,H2H 1V4,0,"1,310",12760,503477050,4723 av Papineau Montréal QC H2H 1V4
24660,4056,H2L 3Y2,0,"1,850",18100,500402338,4056 rue Saint-Christophe Montréal QC H2L 3Y2
23394,4434,H2H 1W5,0,"1,720",16940,502855217,4434 rue Cartier Montréal QC H2H 1W5
273454,4600,H2J 3E4,0,"1,370",13730,501987780,4600 rue Boyer Montréal QC H2J 3E4
14487,4293,H2J 2P9,0,"1,250",12920,501828986,4293 rue Berri Montréal QC H2J 2P9
10718,4234,H2J 2Z2,0,"1,550",15320,502879183,4234 rue Saint-André Montréal QC H2J 2Z2
239182,4690,H2H 1X1,0,960,10020,500085921,4690 rue Cartier Montréal QC H2H 1X1
23104,4686,H2J 2T5,0,960,9620,501405517,4686 rue Pontiac Montréal QC H2J 2T5
19687,836,H2J 1N9,0,"1,860",18510,500130039,836 rue Gilford Montréal QC H2J 1N9
282510,4848,H2J 3L5,0,"1,070",10570,500787770,4848 rue de Brébeuf Montréal QC H2J 3L5
840,1984,H2H 1G9,0,"1,640",16400,501442018,1984 rue Gilford Montréal QC H2H 1G9
840,1984,H2H 1G9,0,"1,230",12380,501442015,A-1984 rue Gilford Montréal QC H2H 1G9
254047,4539,H2J 3J5,0,"1,490",14710,502354699,4539 rue de la Roche Montréal QC H2J 3J5
38186,4302,H2H 1S9,0,"1,330",14290,503741631,101-4302 av Papineau Montréal QC H2H 1S9
38186,4302,H2H 1S9,0,960,10270,503767236,102-4302 av Papineau Montréal QC H2H 1S9
38186,4302,H2H 1S9,0,560,4940,503767237,201-4302 av Papineau Montréal QC H2H 1S9
38186,4302,H2H 1S9,0,650,6140,503767238,202-4302 av Papineau Montréal QC H2H 1S9
38186,4302,H2H 1S9,0,810,8080,503767239,301-4302 av Papineau Montréal QC H2H 1S9
38186,4302,H2H 1S9,0,990,10300,503767240,302-4302 av Papineau Montréal QC H2H 1S9
