Index,ID_UEV,Tract
251,01017755,0146.00
290,01018024,0146.00
398,01017529,0146.00
695,05026816,0146.00
708,01017623,0146.00
741,01018028,0146.00
750,01017812,0146.00
892,01018155,0146.00
996,01129791,0146.00
270,05070903,0147.00
609,05030233,0147.00
648,01033762,0147.00
656,01029597,0147.00
751,01030590,0147.00
757,01028859,0147.00
903,05005426,0147.00
964,01033729,0147.00
231,01035330,0149.00
383,01032905,0149.00
442,01034846,0149.00
568,01035110,0149.00
571,01035108,0149.00
152,01031563,0148.00
315,01120751,0148.00
332,01106107,0148.00
716,01030756,0148.00
758,05224700,0148.00
311,01017549,0146.00
346,05036605,0146.00
437,01017989,0146.00
510,01017884,0146.00
528,01017943,0146.00
843,01017606,0146.00
986,01116054,0146.00
90,01030056,0147.00
215,01030056,0147.00
222,01029076,0147.00
242,01030000,0147.00
247,05232703,0147.00
335,01028907,0147.00
445,01033727,0147.00
618,01033953,0147.00
645,01030597,0147.00
891,01030490,0147.00
925,05282914,0147.00
989,01030526,0147.00
990,01033972,0147.00
999,01034055,0147.00
756,05068367,0050.00
967,01040417,0050.00
91,01003573,0051.00
270,01002890,0051.00
322,01003560,0051.00
324,05015736,0051.00
585,01002863,0051.00
41,01003400,0052.00
559,01106917,0052.00
676,01003683,0052.00
812,01040028,0052.00
896,01040640,0052.00
155,01021743,0059.00
201,01021659,0059.00
331,01021371,0059.00
385,01020605,0059.00
400,05071964,0059.00
479,01021706,0059.00
603,01021706,0059.00
607,01021706,0059.00
669,01118565,0059.00
801,01021283,0059.00
824,01021733,0059.00
911,01021101,0059.00
215,01000320,0061.00
475,01058586,0061.00
716,01001185,0061.00
303,01035382,0048.00
369,05255058,0048.00
721,01117905,0048.00
820,01116874,0048.00
878,01110049,0048.00
165,01032426,0049.00
471,01125848,0049.00
551,01032610,0049.00
971,01108920,0049.00
6,01026576,0143.00
56,01026613,0143.00
248,01093071,0143.00
407,01026444,0143.00
454,01093113,0143.00
459,01026605,0143.00
535,01026400,0143.00
547,01104081,0143.00
680,01093147,0143.00
682,01026741,0143.00
719,01027601,0143.00
24,05035305,0144.00
87,01098056,0144.00
244,01027686,0144.00
391,05208451,0144.00
548,01027553,0144.00
622,01027202,0144.00
653,01027289,0144.00
657,01027672,0144.00
695,01026875,0144.00
715,01027365,0144.00
754,01119553,0144.00
768,01027132,0144.00
858,05035211,0144.00
240,01035271,0149.00
326,01034479,0149.00
340,01034404,0149.00
532,01035274,0149.00
537,01035335,0149.00
562,01032871,0149.00
687,01035351,0149.00
727,01034805,0149.00
764,01131926,0149.00
862,05260477,0149.00
865,01035138,0149.00
38,01026013,0150.00
67,01023466,0150.00
227,01023463,0150.00
259,01123882,0150.00
563,01022759,0150.00
601,01023309,0150.00
618,05178196,0150.00
650,01023463,0150.00
856,01026236,0150.00
481,01032293,0151.00
539,01033812,0151.00
951,01032682,0151.00
964,01032185,0151.00
108,02167271,0152.00
175,05266434,0152.00
352,01033322,0152.00
491,01033621,0152.00
495,01033841,0152.00
571,01033643,0152.00
626,01033575,0152.00
692,01033237,0152.00
733,01033573,0152.00
152,01042153,0133.00
156,01042526,0133.00
224,01041907,0133.00
275,01042143,0133.00
341,01041890,0133.00
420,05083563,0133.00
426,01042023,0133.00
519,01109178,0133.00
576,01042052,0133.00
595,01043066,0133.00
772,01042529,0133.00
785,01042072,0133.00
842,05083817,0133.00
844,01043016,0133.00
930,01042229,0133.00
360,01042665,0134.00
640,01042833,0134.00
795,01042799,0134.00
955,01131507,0134.00
973,01021858,0134.00
889,01031880,0148.00
895,05198665,0148.00
90,01033448,0154.00
135,01033490,0154.00
510,01034670,0154.00
982,01034477,0154.00
58,01039369,0128.00
68,05088873,0128.00
116,01003917,0128.00
128,01038703,0128.00
154,01038536,0128.00
164,05085527,0128.00
180,01130070,0128.00
213,01003664,0128.00
249,01039242,0128.00
274,01039248,0128.00
290,01039307,0128.00
328,01037932,0128.00
372,01116196,0128.00
437,05091393,0128.00
468,01003897,0128.00
541,01119927,0128.00
578,01126580,0128.00
581,01123534,0128.00
663,01039011,0128.00
672,01039445,0128.00
730,01038742,0128.00
735,01039044,0128.00
738,01038568,0128.00
746,01003847,0128.00
767,01038542,0128.00
840,01127413,0128.00
893,01039450,0128.00
927,01038717,0128.00
8,01109186,0131.00
37,01109259,0131.00
51,01109163,0131.00
71,01125590,0131.00
88,01109197,0131.00
94,01109187,0131.00
96,01109231,0131.00
106,01125590,0131.00
123,01109212,0131.00
200,01109197,0131.00
205,01109166,0131.00
211,01109180,0131.00
219,01109244,0131.00
264,01125583,0131.00
269,01125585,0131.00
279,01125593,0131.00
317,01109185,0131.00
319,01109208,0131.00
344,01125589,0131.00
362,01125583,0131.00
371,01109197,0131.00
375,01109188,0131.00
376,01109259,0131.00
393,01125590,0131.00
533,01109231,0131.00
587,01109188,0131.00
593,01109244,0131.00
610,01109222,0131.00
677,01000157,0131.00
694,01109219,0131.00
708,01109202,0131.00
780,01125586,0131.00
860,01109208,0131.00
876,01125594,0131.00
897,01109208,0131.00
914,01125583,0131.00
948,01125584,0131.00
0,01109186,0132.00
13,01125588,0132.00
25,01109188,0132.00
28,01000931,0132.00
31,01109197,0132.00
32,01125586,0132.00
