,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
128,REM21,800,515,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5763564673699, 45.5236304884387], [-73.5764074977506, 45.5235754687977], [-73.5761032164286, 45.5234370832095], [-73.5760526079864, 45.5234919224497], [-73.5763564673699, 45.5236304884387]]]}",1126,206,1000,Logement,0,0,50,9842-86-4526-5-000-0000,rue Rachel Est  (MTL),802,1041600,Régulier,0,1900,0142.00
159,REM21,764,333,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5764340924637, 45.523253547226], [-73.5766257471497, 45.5233407117189], [-73.5766723481857, 45.5232900145761], [-73.5763692300706, 45.5231522588576], [-73.5763226288758, 45.5232029558781], [-73.5764340924637, 45.523253547226]]]}",1309,189,1000,Logement,0,3,50,9842-85-2495-7-000-0000,rue Rachel Est  (MTL),768,1041602,Régulier,0,1900,0142.00
160,REM21,760,302,6,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5767184220555, 45.5232399477165], [-73.5764153040972, 45.5231021921189], [-73.5763692300706, 45.5231522588576], [-73.5766723481857, 45.5232900145761], [-73.5767184220555, 45.5232399477165]]]}",1310,187,1000,Logement,0,3,50,9842-85-2189-6-000-0000,rue Rachel Est  (MTL),762,1041603,Régulier,0,1957,0142.00
161,REM21,964,619,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5847468472491, 45.5293946288212], [-73.5844067982459, 45.5292406333127], [-73.5843378458852, 45.5293138482061], [-73.584677895142, 45.5294678439177], [-73.5847468472491, 45.5293946288212]]]}",1326,307,1000,Logement,0,3,50,9843-12-9674-2-000-0000,boulevard Saint-Joseph Est  (MTL),966,1027986,Régulier,0,1931,0159.00
165,REM21,4573,296,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5768417509998, 45.5323931021822], [-73.577066048041, 45.5321553708051], [-73.576983729782, 45.5321169994992], [-73.5767593271861, 45.5323549107723], [-73.5768417509998, 45.5323931021822]]]}",1381,245,1000,Logement,0,3,50,9843-75-9296-1-000-0000,rue Fabre  (MTL),4579,1029930,Régulier,0,1900,0157.00
166,REM21,4218,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5742972650544, 45.5264270180083], [-73.5742123162195, 45.5263880161508], [-73.5740414949812, 45.5265716222346], [-73.5741264439742, 45.5266106237678], [-73.5742081175007, 45.5266480976386], [-73.5743789384283, 45.5264644917583], [-73.5742972650544, 45.5264270180083]]]}",1392,45,1000,Logement,0,2,50,9942-09-0359-5-001-0008,rue De La Roche  (MTL),4218,5212329,Condominium,      1,2012,0146.00
168,REM21,1599,59,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5731388049086, 45.5310785822343], [-73.5733500324328, 45.5311771686238], [-73.5734060299073, 45.5311175575874], [-73.5731949079942, 45.5310188812401], [-73.5731388049086, 45.5310785822343]]]}",1425,53,1000,Logement,0,1,50,9943-04-7667-3-001-0004,rue Marie-Anne Est  (MTL),1599,5066055,Condominium,0,1925,0147.00
177,REM21,4544,189,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5803862066587, 45.5281192559833], [-73.5803041051509, 45.5280822367795], [-73.5800923950543, 45.5283136663795], [-73.5801744967603, 45.5283506857339], [-73.5803862066587, 45.5281192559833]]]}",1495,232,1000,Logement,0,2,50,9843-51-3247-1-000-0000,avenue Christophe-Colomb  (MTL),4544,1026425,Régulier,0,1910,0159.00
193,REM21,1967,398,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5770777921652, 45.5361142229603], [-73.5771246167668, 45.5360651454606], [-73.5768318861316, 45.5359286441587], [-73.5767868543353, 45.535975920485], [-73.5770777921652, 45.5361142229603]]]}",1627,169,1000,Logement,0,3,50,9844-70-9014-7-000-0000,rue Gilford  (MTL),1971,1034505,Régulier,0,1920,0156.00
195,REM21,1650,583,7,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.579650300659, 45.5344031410133], [-73.5799243230097, 45.5345294790686], [-73.5799936046737, 45.5344565366535], [-73.5797195823955, 45.5343301087702], [-73.579650300659, 45.5344031410133]]]}",1656,250,1000,Logement,0,3,50,9843-58-6638-3-000-0000,boulevard Saint-Joseph Est  (MTL),1650,1034595,Régulier,0,1926,0157.00
197,REM21,4169,171,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5766326266698, 45.5228083104375], [-73.5767792834883, 45.5226504547898], [-73.5767130411707, 45.5226214316577], [-73.5765413962764, 45.5228059418003], [-73.5765688658428, 45.5228184323735], [-73.5766069005908, 45.5228356854673], [-73.5766326266698, 45.5228083104375]]]}",1738,149,1000,Logement,0,2,50,9842-85-1137-6-000-0000,rue Berri  (MTL),4171,1016388,Régulier,0,1900,0142.00
205,REM21,4324,251,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5735415732692, 45.5293772842429], [-73.5737370820019, 45.5291688253942], [-73.5736556159748, 45.5291310810679], [-73.5734601070715, 45.5293395397786], [-73.5735415732692, 45.5293772842429]]]}",1806,72,1000,Logement,0,1,50,9943-02-5162-1-001-0003,rue Garnier  (MTL),4324,1123649,Condominium,0,1900,0147.00
206,REM21,1675,149,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5785576166726, 45.5341351800701], [-73.578885424903, 45.5342865015369], [-73.578928554784, 45.5342407555558], [-73.5786007468294, 45.5340895242038], [-73.5785576166726, 45.5341351800701]]]}",1814,187,1000,Logement,0,2,50,9843-68-5011-3-000-0000,rue Gilford  (MTL),1677,1034522,Régulier,0,1910,0157.00
212,REM21,960,1347,34,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5751523852892, 45.5249367204045], [-73.5748215834417, 45.5247885396813], [-73.5747209928282, 45.5248965067071], [-73.5750515858973, 45.5250462177309], [-73.5751523852892, 45.5249367204045]]]}",1904,442,1000,Logement,0,4,50,9842-97-4781-3-000-0000,rue Rachel Est  (MTL),960,1041590,Régulier,0,1966,0142.00
213,REM21,850,0,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5759764805141, 45.5240422782494], [-73.5760474359723, 45.5239634874568], [-73.5758901170306, 45.52389159795], [-73.5758177880594, 45.5239698496016], [-73.5759764805141, 45.5240422782494]]]}",1905,152,1000,Logement,0,0,50,9842-86-6874-7-000-0000,rue Rachel Est  (MTL),852,1041594,Régulier,0,9999,0142.00
214,REM21,826,278,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5758292970355, 45.5237338812002], [-73.5758125327353, 45.523751980853], [-73.57578100751, 45.5237861089906], [-73.576084867691, 45.5239245857018], [-73.5761331571749, 45.5238724477769], [-73.5758292970355, 45.5237338812002]]]}",1906,197,1000,Logement,0,0,50,9842-86-6659-2-000-0000,rue Rachel Est  (MTL),828,1041595,Régulier,0,1900,0142.00
215,REM21,822,254,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5761331571749, 45.5238724477769], [-73.5761777561838, 45.5238241819767], [-73.5758738960741, 45.5236855255249], [-73.5758292970355, 45.5237338812002], [-73.5761331571749, 45.5238724477769]]]}",1907,181,1000,Logement,0,0,50,9842-86-6354-0-000-0000,rue Rachel Est  (MTL),824,1041596,Régulier,0,1900,0142.00
216,REM21,1986,448,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.576274019463, 45.5358310162062], [-73.5762707995281, 45.5358709750142], [-73.576233255628, 45.535910776748], [-73.5764637408962, 45.5360188836453], [-73.5765290218517, 45.5359505356447], [-73.576274019463, 45.5358310162062]]]}",1926,202,1000,Logement,0,3,50,9844-80-3504-2-000-0000,rue Gilford  (MTL),1994,1034464,Régulier,0,1924,0156.00
220,REM21,1908,467,7,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5766468493374, 45.5353805342967], [-73.5765889519062, 45.5354414980382], [-73.5768836862762, 45.5355781786107], [-73.5769414781635, 45.5355173947773], [-73.5766468493374, 45.5353805342967]]]}",1978,229,1000,Logement,0,2,50,9843-89-0454-6-000-0000,rue Gilford  (MTL),1914,1034454,Régulier,0,1910,0156.00
222,REM21,1477,281,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5797997597596, 45.5328103649611], [-73.5797462654403, 45.5328677058222], [-73.5800722289081, 45.5330185111636], [-73.580125721693, 45.5329611692526], [-73.5797997597596, 45.5328103649611]]]}",2001,232,1000,Logement,0,0,50,9843-56-5770-9-000-0000,rue Gilford  (MTL),1481,1034563,Régulier,0,1910,0157.00
238,REM21,1899,232,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5737587206718, 45.5339285169208], [-73.5737143215401, 45.5339757916441], [-73.5739763886947, 45.5340974720803], [-73.5740207877024, 45.5340501972563], [-73.5737587206718, 45.5339285169208]]]}",2131,149,1000,Logement,0,2,50,9943-07-3091-3-000-0000,avenue du Mont-Royal Est  (MTL),1901,1034330,Régulier,0,1910,0156.00
253,REM21,4567,159,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5790172785915, 45.5301021176851], [-73.5791887276077, 45.5299185041207], [-73.5791071515088, 45.5298809437485], [-73.5789358078156, 45.5300644671263], [-73.5790172785915, 45.5301021176851]]]}",2212,186,1000,Logement,0,2,50,9843-63-2644-5-000-0000,rue De Brébeuf  (MTL),4569,1027036,Régulier,0,1885,0158.00
262,REM21,1981,399,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.573495809428, 45.5346983022126], [-73.573554553141, 45.5346364395611], [-73.5732343623876, 45.5344861778328], [-73.5731759357731, 45.5345484000881], [-73.573495809428, 45.5346983022126]]]}",2261,241,1000,Logement,0,2,50,9943-08-7056-0-000-0000,avenue du Mont-Royal Est  (MTL),1999,1034317,Régulier,0,1910,0156.00
264,REM21,1115,579,4,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.579079387124, 45.5283044729541], [-73.579383172485, 45.5284417709305], [-73.5794382117629, 45.5283830574999], [-73.5791351647545, 45.5282450392162], [-73.579079387124, 45.5283044729541]]]}",2286,223,1000,Logement,0,0,50,9843-61-0961-9-000-0000,avenue du Mont-Royal Est  (MTL),1119,1027619,Régulier,0,1910,0158.00
266,REM21,4572,80,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5793171553961, 45.5297809063757], [-73.5794892349183, 45.529596481979], [-73.5794076592121, 45.5295590118117], [-73.5792355794109, 45.5297433460944], [-73.5793171553961, 45.5297809063757]]]}",2324,44,1000,Logement,0,2,50,9843-63-0210-7-001-0003,rue De Brébeuf  (MTL),4572,5088081,Condominium,0,2001,0158.00
271,REM21,1457,0,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5802861974948, 45.5327891301748], [-73.5799601902731, 45.5326383513824], [-73.5799067295638, 45.5326957140283], [-73.5802327369744, 45.5328464929717], [-73.5802861974948, 45.5327891301748]]]}",2386,232,1000,Logement,0,2,50,9843-56-4450-9-000-0000,rue Gilford  (MTL),1459,1034569,Régulier,0,1900,0157.00
272,REM21,4232,117,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5781384372477, 45.5229092520493], [-73.578072932042, 45.5228795092615], [-73.5779245934485, 45.52304069744], [-73.5779900987633, 45.5230704403119], [-73.5781384372477, 45.5229092520493]]]}",2420,130,1000,Logement,0,2,50,9842-75-0465-3-000-0000,rue Berri  (MTL),4232,1016214,Régulier,0,1885,0141.00
273,REM21,4234,138,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5781384372477, 45.5229092520493], [-73.5779900987633, 45.5230704403119], [-73.5780556042716, 45.5231002731387], [-73.5782040482342, 45.5229390847197], [-73.5781384372477, 45.5229092520493]]]}",2422,130,1000,Logement,0,2,50,9842-65-9968-8-000-0000,rue Berri  (MTL),4236,1016217,Régulier,0,1885,0141.00
281,REM21,1495,279,3,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5795851188125, 45.533040339919], [-73.5797778708609, 45.5331297480227], [-73.5799109166545, 45.5331914798877], [-73.5799652214031, 45.5331332167287], [-73.5796393185275, 45.5329823469641], [-73.5795851188125, 45.533040339919]]]}",2566,232,1000,Logement,0,3,50,9843-56-6989-4-000-0000,rue Gilford  (MTL),1499,1034557,Régulier,0,1905,0157.00
282,REM21,1830,390,8,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5786395477776, 45.5354083374492], [-73.5788187789571, 45.5354910969978], [-73.578817724485, 45.5354922676275], [-73.5789546845432, 45.5355555277521], [-73.5790191164286, 45.5354867289472], [-73.5787255407175, 45.5353512229857], [-73.5786395477776, 45.5354083374492]]]}",2572,258,1000,Logement,0,3,50,9843-69-4352-0-000-0000,boulevard Saint-Joseph Est  (MTL),1830,1034619,Régulier,0,1953,0156.00
297,REM21,506,1213,10,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5767389659092, 45.5228956219416], [-73.5766447079178, 45.5229964770217], [-73.5768540058169, 45.5230914586593], [-73.5770312329171, 45.5228968651122], [-73.5768239425733, 45.5228026023875], [-73.5767643749455, 45.5228680671101], [-73.5767389659092, 45.5228956219416]]]}",2652,496,1000,Logement,0,0,50,9842-75-9661-8-000-0000,rue Rachel Est  (MTL),528,1041605,Régulier,0,1927,0142.00
