,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
2989,REM05,401,135,2,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.596047117456, 45.5182753721822], [-73.5962722764183, 45.5183757045484], [-73.5963234864179, 45.5183163561555], [-73.596095693353, 45.5182190858587], [-73.596047117456, 45.5182753721822]]]}",110277,154,1000,Logement,0,2,50,9742-20-8546-0-000-0000,avenue Édouard-Charles  (OUT),403,3038085,Régulier,0,1908,0363.00
3007,REM05,288,216,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.603340082793, 45.5173069848074], [-73.603465253093, 45.5171679226688], [-73.6035340542978, 45.5170914564696], [-73.6034132775685, 45.5170352303966], [-73.6032177254389, 45.517252559815], [-73.603340082793, 45.5173069848074]]]}",110612,325,1000,Logement,0,2,50,9641-79-2322-2-000-0000,avenue McDougall  (OUT),288,3035822,Régulier,0,1911,0362.00
3008,REM05,628,225,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6156466514528, 45.5125735362231], [-73.6155152030407, 45.512513913976], [-73.6154787483726, 45.5124973921512], [-73.6151739131244, 45.5128296835001], [-73.6153625269204, 45.5129149863712], [-73.6156672563181, 45.5125828746167], [-73.6156466514528, 45.5125735362231]]]}",110651,769,1000,Logement,0,2,50,9541-74-8229-6-000-0000,avenue Dunlop  (OUT),628,3035181,Régulier,0,1908,0362.00
3012,REM05,603,251,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6148368323432, 45.512206282463], [-73.615107334391, 45.5123289404378], [-73.615271127091, 45.5121503194539], [-73.6150994217048, 45.5120723787986], [-73.6148368323432, 45.512206282463]]]}",110746,487,1000,Logement,0,2,50,9541-83-0871-4-000-0000,avenue Saint-Germain  (OUT),603,3036943,Régulier,0,1938,0362.00
3015,REM05,361,220,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6057077824123, 45.51670591643], [-73.6057961650514, 45.5167707194005], [-73.6061795943852, 45.5164223615674], [-73.6060847920832, 45.5163683639855], [-73.6058785177298, 45.5165474610106], [-73.6057077824123, 45.51670591643]]]}",110790,478,1000,Logement,0,2,50,9641-58-2355-6-000-0000,avenue Wiseman  (OUT),361,3037575,Régulier,0,1910,0362.00
3021,REM05,343,168,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6027446046855, 45.5197875421011], [-73.602559790495, 45.5199942414876], [-73.6026258323174, 45.5200235198033], [-73.6026340742297, 45.5200271121075], [-73.6028188882554, 45.5198204126021], [-73.6027446046855, 45.5197875421011]]]}",110919,186,1000,Logement,0,2,50,9642-72-7727-0-000-0000,avenue Querbes  (OUT),343,3033892,Régulier,0,1913,0363.00
3022,REM05,364,159,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.603448962984, 45.5196283392153], [-73.6034089151852, 45.5196105569148], [-73.6033648520446, 45.5195909783792], [-73.6031982676579, 45.5197765140178], [-73.603282378764, 45.5198138749752], [-73.603448962984, 45.5196283392153]]]}",110920,186,1000,Logement,0,2,50,9642-72-2804-2-000-0000,avenue Querbes  (OUT),364,3033894,Régulier,0,1924,0363.00
3026,REM05,218,253,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6012323010128, 45.5169269428479], [-73.6011172372013, 45.516875838871], [-73.6007883923558, 45.5172441999229], [-73.6009886179565, 45.5173324859767], [-73.6013169349357, 45.5169645747861], [-73.6012323010128, 45.5169269428479]]]}",110450,883,1000,Logement,0,2,50,9641-99-0514-4-000-0000,avenue Bloomfield  (OUT),218,3030290,Régulier,0,1907,0362.00
3035,REM05,335,202,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6054431852014, 45.5162969638034], [-73.6054890258094, 45.516364776039], [-73.6057191076458, 45.5161573999461], [-73.6056447042955, 45.5161152621637], [-73.6054431852014, 45.5162969638034]]]}",110633,204,1000,Logement,0,2,50,9641-58-5218-3-000-0000,avenue Wiseman  (OUT),335,3037562,Régulier,0,1910,0362.00
3036,REM05,359,265,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6060847920832, 45.5163683639855], [-73.6059855512642, 45.5163119406374], [-73.605648912897, 45.5166153481641], [-73.6057077824123, 45.51670591643], [-73.6058785177298, 45.5165474610106], [-73.6060847920832, 45.5163683639855]]]}",110636,426,1000,Logement,0,2,50,9641-58-2948-8-000-0000,avenue Wiseman  (OUT),359,3037570,Régulier,0,1910,0362.00
3051,REM05,1804,184,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6170238167109, 45.5132003737009], [-73.6169103771532, 45.5133251299295], [-73.6171042776036, 45.5134123143561], [-73.6172177169071, 45.5132875579373], [-73.6170238167109, 45.5132003737009]]]}",110944,296,1000,Logement,0,2,50,9541-64-5494-0-000-0000,avenue Lajoie  (MTL+OUT),1804,3035759,Régulier,0,1929,0362.00
3083,REM05,645,148,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6141670708025, 45.5125503665096], [-73.6140068774781, 45.5126317000441], [-73.6142784402511, 45.5128088945747], [-73.6144131637171, 45.5126616214227], [-73.6141670708025, 45.5125503665096]]]}",111175,438,1000,Logement,0,1,50,9541-84-7524-0-000-0000,chemin de la Côte-Sainte-Catherine  (MTL+OUT),645,3036892,Régulier,0,1929,0362.00
3084,REM05,375,189,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6059690452512, 45.5167988168882], [-73.6061168706765, 45.5168652743137], [-73.6064072298022, 45.5165426500851], [-73.6062888760594, 45.5164845349415], [-73.6062782016339, 45.5164785153569], [-73.6059690452512, 45.5167988168882]]]}",111218,553,1000,Logement,0,2,50,9641-58-0467-1-000-0000,avenue Wiseman  (OUT),375,3037583,Régulier,0,1909,0362.00
3085,REM05,370,254,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6066822255649, 45.5160809106019], [-73.6065624070396, 45.5160294565713], [-73.6063388485361, 45.5162791249038], [-73.6064523578485, 45.5163438139854], [-73.6066861352131, 45.5160827068063], [-73.6066822255649, 45.5160809106019]]]}",111219,380,1000,Logement,0,2,50,9641-48-7813-0-000-0000,avenue Wiseman  (OUT),370,3037584,Régulier,0,1913,0362.00
3088,REM05,491,276,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6092120121159, 45.5172332173371], [-73.6094211328291, 45.5170016458013], [-73.6092865111192, 45.5169408495666], [-73.6091296442356, 45.517114595592], [-73.6091165413106, 45.517108668586], [-73.6090642871452, 45.5171664938468], [-73.6090749597373, 45.5171713432661], [-73.6091963732328, 45.5172262128517], [-73.6092120121159, 45.5172332173371]]]}",111224,384,1000,Logement,0,2,50,9641-29-6413-0-000-0000,avenue Stuart  (OUT),491,3037042,Régulier,0,1912,0362.00
3089,REM05,497,201,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6095320850113, 45.517051755435], [-73.6094211328291, 45.5170016458013], [-73.6092120121159, 45.5172332173371], [-73.6093229645684, 45.5172833271716], [-73.6095320850113, 45.517051755435]]]}",111225,311,1000,Logement,0,2,50,9641-29-5519-5-000-0000,avenue Stuart  (OUT),497,3037046,Régulier,0,1912,0362.00
3102,REM05,150,203,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5999226560602, 45.5163448527514], [-73.5999089203524, 45.5163386552637], [-73.5998223865289, 45.5163002140035], [-73.5994906917492, 45.5166718135872], [-73.5995912777705, 45.5167160923764], [-73.5999226560602, 45.5163448527514]]]}",111565,434,1000,Logement,0,2,50,9741-08-0948-3-000-0000,avenue Bloomfield  (OUT),150,3030259,Régulier,0,1900,0362.00
3103,REM05,160,159,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6001051277644, 45.5164259564737], [-73.6000230311653, 45.5163894013259], [-73.5996917585329, 45.5167604611613], [-73.5997923450287, 45.5168048297652], [-73.6001233010134, 45.5164340398968], [-73.6001051277644, 45.5164259564737]]]}",111567,441,1000,Logement,0,2,50,9641-98-9458-7-000-0000,avenue Bloomfield  (OUT),160,3030263,Régulier,0,1909,0362.00
3107,REM05,140,218,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5998223865289, 45.5163002140035], [-73.5997234908976, 45.5162562939101], [-73.5993915848902, 45.5166280733788], [-73.5994906917492, 45.5166718135872], [-73.5998223865289, 45.5163002140035]]]}",111689,438,1000,Logement,0,2,50,9741-08-1743-7-000-0000,avenue Bloomfield  (OUT),140,3030257,Régulier,0,1900,0362.00
3120,REM05,650,236,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6146677377619, 45.5136736955455], [-73.614844300074, 45.5136460703611], [-73.614854748176, 45.5136444399856], [-73.6147870646991, 45.5134302350953], [-73.6147371912039, 45.5134082369571], [-73.6145634909971, 45.5135973962331], [-73.6145438985054, 45.5136188341736], [-73.6146677377619, 45.5136736955455]]]}",111868,402,1000,Logement,0,2,50,9541-85-3722-1-000-0000,avenue Hartland  (OUT),650,3035390,Régulier,0,1929,0362.00
3124,REM05,5430,197,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.6022501684257, 45.5201962827378], [-73.6024673319605, 45.5199531977856], [-73.6023879764302, 45.5199180817847], [-73.6021708126882, 45.5201611665878], [-73.6022501684257, 45.5201962827378]]]}",112046,234,1000,Logement,0,2,50,9642-82-0645-0-000-0000,avenue Durocher  (OUT),5430,3032951,Régulier,0,1911,0363.00
3133,REM05,1090,222,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5992167074313, 45.5182247870553], [-73.5990311455802, 45.5184310314751], [-73.5991233878108, 45.5184719881641], [-73.5993091609324, 45.5182659233978], [-73.5992167074313, 45.5182247870553]]]}",112162,33,1000,Logement,0,1,50,9742-00-5250-4-001-0009,avenue Fairmount Ouest  (MTL+OUT),1090,3033304,Condominium,      5,9999,0363.00
