PycityLayers Index,Street_no,Postal_Code,Error_Code,Price,Consumption,City ID,Address
10678,4230,H2J 3H9,0,"1,700",16880,,
196036,2253,H2L 2T1,0,"1,010",10920,,
196036,2253,H2L 2T1,0,"1,010",10920,,
59945,11421,H1H 3B1,0,"3,090",29810,,
196036,2253,H2L 2T1,0,"1,010",10920,,
59945,11421,H1H 3B1,0,"3,090",29810,,
335551,11132,H1G 5P2,0,"2,180",21430,,
196036,2253,H2L 2T1,0,"1,010",10920,,
59945,11421,H1H 3B1,0,"3,090",29810,,
335551,11132,H1G 5P2,0,"2,180",21430,,
41443,11270,H1G 5B7,0,"1,690",17250,,
196036,2253,H2L 2T1,0,"1,010",10920,,
59945,11421,H1H 3B1,0,"3,090",29810,,
335551,11132,H1G 5P2,0,"2,180",21430,,
41443,11270,H1G 5B7,0,"1,690",17250,,
288255,11332,H1H 3K4,0,"1,910",19000,,
196036,2253,H2L 2T1,0,"1,010",10920,,
59945,11421,H1H 3B1,0,"3,090",29810,,
335551,11132,H1G 5P2,0,"2,180",21430,,
41443,11270,H1G 5B7,0,"1,690",17250,,
288255,11332,H1H 3K4,0,"1,910",19000,,
