,borough_id,building_number,built_area,dwelling_number,firstletter_apt,geom,index,land_area,landuse_code,landuse_text,lastletter_apt,max_floors,municipality_code,nad83_registration,street_name,street_number,uid,unit_category,unit_number,year_built,Tract
3250,REM19,2021,27177,385,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5857659482139, 45.4902374238729], [-73.5854788651867, 45.4904821505651], [-73.5858673401392, 45.4907112518463], [-73.585884202697, 45.4906969302526], [-73.5859076515539, 45.49071131153], [-73.5859282484586, 45.4907238950844], [-73.5863170566727, 45.4909616339215], [-73.5866044720446, 45.4907279740534], [-73.5857659482139, 45.4902374238729]]]}",28827,2931,1000,Logement,0,25,50,9838-09-7367-1-000-0000,avenue Atwater  (MTL+WMT),2021,1109387,Régulier,0,1975,0065.02
3263,REM19,2094,359,9,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5843780220993, 45.4925385931271], [-73.5844674033843, 45.4924659925828], [-73.5841884447466, 45.4922961114436], [-73.5841559828277, 45.4923238532577], [-73.5840658874811, 45.4922712735975], [-73.5840111869439, 45.4923180202917], [-73.5843780220993, 45.4925385931271]]]}",30484,367,1000,Logement,0,3,50,9839-21-1666-5-000-0000,avenue Lincoln  (MTL),2094,1109890,Régulier,0,1924,0065.02
3267,REM19,1071,518,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5821801744556, 45.4878457004063], [-73.5821683606568, 45.4878493087366], [-73.5822198728392, 45.4879337752561], [-73.5822315809813, 45.4879301669966], [-73.5822903307185, 45.4879123959341], [-73.5825156252049, 45.4878441987971], [-73.5824260369161, 45.4877712788127], [-73.5821801744556, 45.4878457004063]]]}",31462,241,1000,Logement,0,3,50,9838-36-6461-6-000-0000,avenue Atwater  (MTL+WMT),1079,1129035,Régulier,0,2000,0066.02
3281,REM19,1522,900,5,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5832704586573, 45.4975365437904], [-73.5829418021591, 45.4973889242664], [-73.5827740952541, 45.4973137217039], [-73.5827283797767, 45.4973742301727], [-73.5830230293881, 45.4975065762089], [-73.5832243212401, 45.4975969627697], [-73.5832704586573, 45.4975365437904]]]}",35309,356,1000,Logement,0,4,50,9839-37-1228-0-000-0000,avenue Summerhill  (MTL),1522,1039498,Régulier,0,1909,0129.01
3286,REM19,1855,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5778342488737, 45.4919719627665], [-73.577891484286, 45.4919233274425], [-73.5779337520923, 45.491887481332], [-73.5778554922715, 45.4918419981546], [-73.5777781832044, 45.4917971442281], [-73.5774178312534, 45.491587794923], [-73.5773296284768, 45.4916789277579], [-73.5778342488737, 45.4919719627665]]]}",36147,39,1000,Logement,0,1,50,9839-70-3199-2-001-0009,boulevard René-Lévesque Ouest  (MTL),1855,5129805,Condominium,    303,2005,0066.01
3296,REM19,2035,690,9,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5841275927062, 45.4918968566002], [-73.5839417760028, 45.4920525914851], [-73.5838388016784, 45.4921388805618], [-73.5839307977409, 45.4921925389237], [-73.5842168420718, 45.4919486269004], [-73.5841275927062, 45.4918968566002]]]}",38921,320,1000,Logement,0,3,50,9839-21-3127-6-000-0000,rue Chomedey  (MTL),2035,1037648,Régulier,0,1915,0065.02
3299,REM19,1420,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5795638881851, 45.4980154430092], [-73.5799483323103, 45.4982004704287], [-73.5801423074886, 45.4980044322048], [-73.5797560531523, 45.497820142768], [-73.5795638881851, 45.4980154430092]]]}",34785,51,1000,Logement,0,1,50,9839-57-5991-7-001-0096,rue Sherbrooke Ouest  (MTL+MTO+WMT),1420,5244281,Condominium,   1101,1960,0064.00
3302,REM19,2055,67,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5835838046457, 45.4931837979865], [-73.5831677624148, 45.4929439099348], [-73.582890350488, 45.4931798936275], [-73.5829248884843, 45.4931997570457], [-73.5829716787421, 45.4932268110065], [-73.5829648279084, 45.4932327555302], [-73.5832919376568, 45.493421323104], [-73.5835838046457, 45.4931837979865]]]}",43497,38,1000,Logement,0,1,50,9839-22-9456-1-001-0026,rue du Fort  (MTL),2055,5021143,Condominium,    301,1925,0065.01
3308,REM19,1378,178,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5830687630389, 45.5001860862846], [-73.583125046261, 45.5001333094212], [-73.5829386283338, 45.5000436318713], [-73.5829258486169, 45.5000376116158], [-73.5828734729563, 45.5000920954148], [-73.5830687630389, 45.5001860862846]]]}",45763,137,1000,Logement,0,2,50,9840-30-1224-2-000-0000,avenue du Docteur-Penfield  (MTL),1378,1036218,Régulier,0,1967,0129.01
3310,REM19,1181,188,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5799153136334, 45.4904229131005], [-73.5801176268781, 45.4902129972487], [-73.580043392011, 45.490177681965], [-73.5798410786166, 45.4903875976866], [-73.5799153136334, 45.4904229131005]]]}",45941,197,1000,Logement,0,2,50,9838-59-4733-2-000-0000,avenue Seymour  (MTL),1181,1002572,Régulier,0,1900,0066.02
3315,REM19,1700,0,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5751553804914, 45.4926028988831], [-73.5756967805852, 45.4928603717867], [-73.5763351984529, 45.4922021869479], [-73.5758865125104, 45.4919864123148], [-73.5754186963183, 45.4924575663717], [-73.5753341110821, 45.4924159553535], [-73.5751553804914, 45.4926028988831]]]}",46515,11,1000,Logement,0,1,50,9839-81-8491-5-001-0116,boulevard René-Lévesque Ouest  (MTL),1700,5106345,Condominium,    302,2004,0066.01
3325,REM19,1198,143,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5776510040915, 45.4927833758246], [-73.5777069802151, 45.4928159152815], [-73.5778918652352, 45.4926590212843], [-73.5778358890368, 45.492626391924], [-73.5776510040915, 45.4927833758246]]]}",47690,130,1000,Logement,0,2,50,9839-72-2002-5-000-0000,rue Saint-Mathieu  (MTL),1198,1037141,Régulier,0,1880,0066.01
3336,REM19,1206,170,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5805732795531, 45.490263981123], [-73.5806411321464, 45.4902962178833], [-73.5808413751982, 45.4900853560252], [-73.5807733170759, 45.4900533354908], [-73.5805732795531, 45.490263981123]]]}",51909,180,1000,Logement,0,2,50,9838-49-9120-8-000-0000,avenue Seymour  (MTL),1206,1002544,Régulier,0,1900,0066.02
3338,REM19,1209,153,1,0,"{'type': 'Polygon', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:EPSG::4326'}}, 'coordinates': [[[-73.5783699389643, 45.4921406936601], [-73.5784573182881, 45.4920652194058], [-73.5786427216562, 45.4919049040761], [-73.5785730161034, 45.4918644551183], [-73.5782998108234, 45.4920999748477], [-73.5783699389643, 45.4921406936601]]]}",52210,238,1000,Logement,0,2,50,9839-61-6522-1-000-0000,rue Saint-Marc  (MTL),1209,1037231,Régulier,0,1885,0066.01
