index,ID_UEV,postal_code,tract,street_name,street_number
24357,1096985,H2L 4A5,143.0,rue Saint-Hubert  (MTL),3902
24386,1117905,H2K 3Y9,48.0,rue de Bordeaux  (MTL),2288
24393,1104300,H2L 1B3,144.0,avenue Duluth Est  (MTL),800
24397,1121921,H2L 2T1,49.0,rue De Champlain  (MTL),2135
24419,1097999,H2L 1H7,144.0,rue Cherrier  (MTL),940
24439,1105082,H2L 1C2,144.0,rue Saint-Hubert  (MTL),3835
24455,1121311,H2J 3T6,147.0,rue Fabre  (MTL),4248
24562,1120052,H2J 2C8,147.0,rue Marie-Anne Est  (MTL),1588
24563,1125608,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3927
24572,1122299,H2K 3V5,150.0,avenue des Érables  (MTL),3428
24578,1119575,H2L 4A5,143.0,rue Saint-Hubert  (MTL),3912
24608,1098749,H2L 3X5,144.0,rue Saint-Christophe  (MTL),3714
24621,1098710,H2L 3Z9,144.0,rue Saint-Hubert  (MTL),3707
24646,1097190,H2K 1A8,149.0,rue Gauthier  (MTL),2001
24650,1097440,H2J 3W8,147.0,rue Marquette  (MTL),4227
24660,1098088,H2L 3Y2,142.0,rue Saint-Christophe  (MTL),4056
24666,1118336,H2J 2G6,147.0,avenue Bureau  (MTL),1687
24669,1096120,H2L 3A5,49.0,rue Panet  (MTL),2076
24739,1119780,H2K 3X8,150.0,avenue De Lorimier  (MTL),4123
24791,1118561,H2L 3X8,144.0,rue Saint-Christophe  (MTL),3914
24792,1118562,H2L 3X8,144.0,rue Saint-Christophe  (MTL),3910
24819,1119597,H2J 3M3,146.0,rue Chambord  (MTL),4242
24884,1096245,H2L 3Z9,144.0,rue Saint-Hubert  (MTL),3769
24894,1118558,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3917
24895,1118394,H2L 3M8,142.0,avenue du Parc-La Fontaine  (MTL),4080
24917,1118559,H2L 4A6,144.0,rue Saint-Hubert  (MTL),3911
24964,1104244,H2L 1R8,49.0,rue Ontario Est  (MTE+MTL),1335
24994,1108636,H2L 3G3,50.0,rue Beaudry  (MTL),2076
25029,1123994,H2J 3X1,147.0,rue Marquette  (MTL),4284
25032,1122982,H2L 4A2,143.0,rue Saint-Hubert  (MTL),3712
25173,1106059,H2K 4E8,48.0,rue Cartier  (MTL),2202
25213,1097908,H2L 3X4,144.0,rue Saint-Christophe  (MTL),3665
25216,1124825,H2L 4A2,143.0,rue Saint-Hubert  (MTL),3700
25219,1123490,H2J 3K5,146.0,rue De Brébeuf  (MTL),4236
25299,1127257,H2L 1S2,49.0,rue Ontario Est  (MTE+MTL),1371
25309,1123882,H2K 1A9,150.0,avenue De Lorimier  (MTL),4029
25310,1123883,H2K 1A9,150.0,avenue De Lorimier  (MTL),4035
25314,1121586,H2L 1C4,144.0,rue Napoléon  (MTL),903
25320,1098056,H2L 1C3,144.0,rue Saint-André  (MTL),3902
25363,1102593,H2L 0G3,51.0,rue Saint-André  (MTL),2111
25391,1119322,H2L 3V4,144.0,rue Saint-André  (MTL),3443
25469,1127834,H2L 1K9,51.0,rue Sherbrooke Est  (MTE+MTL),99999
25508,1105830,H2J 3R5,147.0,rue Garnier  (MTL),4266
25520,1108778,H2L 1K9,51.0,rue Sherbrooke Est  (MTE+MTL),870
25577,1124573,H2L 3M8,142.0,avenue du Parc-La Fontaine  (MTL),4134
25601,1035287,H2H 1P6,149.0,rue Rachel Est  (MTL),1902
25632,1126880,H2L 1H6,144.0,rue Cherrier  (MTL),827
25650,1103541,H2L 3X6,144.0,rue Saint-Christophe  (MTL),3813
25654,1124281,H2K 4J5,48.0,avenue Papineau  (MTL),2259
25670,1106042,H2K 4E8,48.0,rue Cartier  (MTL),2190
25679,5198852,H2L 1C3,144.0,rue Saint-André  (MTL),3850
25686,1127658,H2L 3X4,144.0,rue Saint-André  (MTL),3702
25768,1106052,H2K 4E8,48.0,rue Cartier  (MTL),2196
25820,1125513,H2K 4J5,48.0,avenue Papineau  (MTL),2251
25837,1125462,H2L 3X5,144.0,rue Saint-André  (MTL),3772
25838,1125463,H2L 3X5,144.0,rue Saint-André  (MTL),3774
